evaluations raw_y
1 12.6494472325
2 3.9293534440
42 3.4845210500
82 2.7819365448
106 2.7290594764
127 1.6718164265
187 1.1458725157
249 1.0988147573
269 1.0850732907
276 0.8513071649
291 0.4330422871
324 0.3845498872
352 0.3575839668
395 0.1548128564
542 0.1527009027
555 0.1459102389
557 0.1067096887
622 0.0907101645
631 0.0848231584
651 0.0813590195
682 0.0704654016
703 0.0648713781
722 0.0545601351
730 0.0457105885
765 0.0419260238
778 0.0251556617
938 0.0244771107
958 0.0205638803
1095 0.0187190734
1123 0.0184758745
1315 0.0171937273
1330 0.0127239286
1467 0.0117036470
1607 0.0087265975
1669 0.0055230458
1867 0.0034446694
1979 0.0031016968
2019 0.0029625463
2139 0.0026526043
2299 0.0025467462
2309 0.0022631770
2391 0.0019460158
2855 0.0015558229
3092 0.0010965443
3329 0.0010467763
3718 0.0007552807
4233 0.0006746407
4300 0.0006652471
4398 0.0006400274
4560 0.0005358820
4692 0.0004603921
4963 0.0004415966
4981 0.0003896217
5103 0.0003298400
5621 0.0003205161
6042 0.0003170173
6314 0.0002623734
6622 0.0002611773
6673 0.0002389693
6834 0.0002187104
6987 0.0001259560
7328 0.0000885064
7755 0.0000873891
8137 0.0000778565
8353 0.0000584897
8564 0.0000497526
8996 0.0000323256
9530 0.0000301339
10000 0.0002082122
