evaluations raw_y
1 1.7609885061
5 1.2306954140
20 1.1893672282
42 1.1264472046
56 1.1198356535
58 0.8562231544
83 0.3062223784
96 0.0021080313
166 0.0018526495
174 0.0016285076
223 0.0003742040
291 0.0002648947
655 0.0002440986
807 0.0001489234
856 0.0001321359
921 0.0001290542
973 0.0001062861
974 0.0001012838
1082 0.0000633988
1164 0.0000525339
1440 0.0000509935
1449 0.0000432712
1464 0.0000361541
1569 0.0000272447
1727 0.0000214250
1758 0.0000206105
1846 0.0000195825
1869 0.0000169484
1932 0.0000148063
1951 0.0000141899
2036 0.0000130492
2056 0.0000113534
2237 0.0000089969
2356 0.0000088122
2357 0.0000084557
2575 0.0000068609
2657 0.0000049851
3167 0.0000036779
3506 0.0000035747
3525 0.0000034010
3582 0.0000030873
3588 0.0000022301
3696 0.0000021974
3773 0.0000011267
4508 0.0000010814
4529 0.0000010577
4573 0.0000005932
5232 0.0000004804
5739 0.0000004553
6080 0.0000004323
6214 0.0000004243
6217 0.0000003938
6639 0.0000002933
6847 0.0000002258
7453 0.0000001893
7714 0.0000001756
7717 0.0000001260
8192 0.0000001216
8442 0.0000001190
8472 0.0000001132
8767 0.0000001083
9278 0.0000000790
9460 0.0000000665
10000 0.0000009112
