evaluations raw_y
1 11.3663807906
2 9.9404689292
4 9.6178537632
9 4.3723159590
20 4.0730531024
49 1.6430169164
53 1.5686190314
93 1.5242523888
132 1.4479946297
148 1.3759574542
153 1.2466295108
194 0.6259620174
231 0.5475892146
240 0.4690212372
252 0.3723146924
283 0.3098813111
358 0.2989715972
406 0.2636516104
427 0.2349164145
454 0.1688570989
463 0.1256655095
514 0.1213026323
550 0.1186936476
568 0.1180770701
580 0.1150918047
607 0.1130304538
664 0.1090693105
714 0.1054633397
728 0.1050968784
745 0.1050286427
761 0.1047233527
798 0.1046505671
835 0.1046425454
931 0.1042500302
1003 0.1003308680
1052 0.1002812213
1065 0.0978978421
1086 0.0961367901
1117 0.0952852973
1144 0.0942816148
1145 0.0930590306
1147 0.0857277527
1151 0.0527004276
1153 0.0405156869
1244 0.0305622968
1306 0.0268861339
1316 0.0250131505
1362 0.0247027413
1400 0.0216476428
1410 0.0206430007
1453 0.0204462135
1456 0.0181143439
1477 0.0164475637
1503 0.0154600380
1504 0.0136019727
1510 0.0134290897
1526 0.0094705242
1552 0.0088422102
1563 0.0076642164
1608 0.0064426021
1660 0.0032110195
1705 0.0014607225
1757 0.0012720723
1769 0.0011547818
1774 0.0009786629
1780 0.0009724510
1807 0.0006608006
1819 0.0004896919
1855 0.0004089245
1871 0.0000422586
1924 0.0000165477
1931 0.0000138203
1933 0.0000127893
2031 0.0000046828
2094 0.0000012360
2100 0.0000008214
2229 0.0000004293
2275 0.0000001524
2335 0.0000001319
2341 0.0000000551
2532 0.0000000386
2601 0.0000000324
2627 0.0000000154
2643 0.0000000059
2717 0.0000000029
2836 0.0000000011
2904 0.0000000010
3010 0.0000000009
3060 0.0000000006
3198 0.0000000004
3302 0.0000000001
5970 0.0000000000
10000 0.0005696300
