evaluations raw_y
1 3.0033578376
6 2.2431383064
38 1.3039250142
62 1.1367745820
67 0.7438146729
80 0.6648799352
111 0.3083565473
176 0.3050870284
182 0.1883020826
192 0.1748771607
207 0.0922141170
333 0.0672000506
361 0.0659032742
393 0.0603574830
398 0.0531774225
432 0.0309312388
732 0.0260075035
807 0.0221431581
965 0.0208401095
1018 0.0121966649
1079 0.0120696106
1136 0.0111287755
1175 0.0087459050
1189 0.0052897063
1404 0.0047607306
1444 0.0040125154
1467 0.0037444054
1512 0.0025316434
1574 0.0023048358
1616 0.0013909290
1683 0.0010154712
1817 0.0005164933
1836 0.0001578117
1991 0.0001565306
2063 0.0000774163
2168 0.0000747805
2318 0.0000565814
2345 0.0000431715
2368 0.0000181982
2493 0.0000139139
2585 0.0000063309
2647 0.0000056726
2687 0.0000024211
2921 0.0000023240
3046 0.0000021328
3072 0.0000017476
3073 0.0000017423
3098 0.0000016475
3126 0.0000015728
3133 0.0000014809
3141 0.0000014806
3159 0.0000013136
3169 0.0000009573
3181 0.0000008110
3204 0.0000006586
3232 0.0000005823
3259 0.0000004601
3402 0.0000004121
3456 0.0000003970
3468 0.0000002083
3544 0.0000001367
3659 0.0000001153
3679 0.0000000981
3720 0.0000000874
3749 0.0000000208
4075 0.0000000170
4090 0.0000000150
4135 0.0000000122
4191 0.0000000061
4234 0.0000000040
4306 0.0000000026
4327 0.0000000019
4439 0.0000000018
4567 0.0000000015
4620 0.0000000009
4692 0.0000000008
4833 0.0000000006
4927 0.0000000004
5094 0.0000000003
5112 0.0000000002
5495 0.0000000001
10000 0.0000000000
