evaluations raw_y
1 5.1392370906
2 4.8588978924
4 4.2951554925
6 3.4979234840
13 2.1367505801
34 1.2776505486
38 1.0014158069
39 0.9634530324
41 0.8708316272
48 0.8616456445
73 0.2200417086
100 0.1118640914
237 0.1049597701
266 0.0803026196
366 0.0795487857
417 0.0744953153
572 0.0655728744
588 0.0573908994
612 0.0535356648
665 0.0391539299
773 0.0112132597
1338 0.0077567826
1431 0.0075231252
1477 0.0071544690
1528 0.0060792593
1625 0.0055273630
1648 0.0038604459
1734 0.0034731466
1821 0.0029647327
1915 0.0016571730
2322 0.0010725730
2421 0.0005803322
2645 0.0005729907
2693 0.0005129742
2742 0.0003405048
2791 0.0002744395
2835 0.0002728712
2955 0.0002431641
2956 0.0001899534
3095 0.0001695709
3143 0.0001646724
3164 0.0001212529
3308 0.0000669776
3491 0.0000638149
3583 0.0000478051
3684 0.0000419057
3869 0.0000416969
3874 0.0000406535
3919 0.0000375634
3931 0.0000311990
3963 0.0000303103
3987 0.0000218933
4061 0.0000211373
4073 0.0000194476
4095 0.0000155728
4129 0.0000117926
4155 0.0000090658
4302 0.0000074131
4497 0.0000073249
4518 0.0000070407
4523 0.0000065958
4566 0.0000058620
4582 0.0000053711
4589 0.0000045568
4600 0.0000044427
4726 0.0000039081
4769 0.0000033815
4884 0.0000032871
4933 0.0000031359
5079 0.0000029380
5093 0.0000028383
5160 0.0000025528
5216 0.0000023598
5226 0.0000011035
5404 0.0000011024
5412 0.0000004902
5500 0.0000003727
5749 0.0000001678
5760 0.0000001549
6017 0.0000001378
6229 0.0000001037
6371 0.0000000999
6386 0.0000000881
6409 0.0000000674
6496 0.0000000568
6625 0.0000000554
6715 0.0000000473
6717 0.0000000381
6773 0.0000000362
6887 0.0000000360
6896 0.0000000353
6943 0.0000000303
7029 0.0000000197
7059 0.0000000158
7272 0.0000000155
7321 0.0000000153
7334 0.0000000108
7389 0.0000000106
7408 0.0000000062
7628 0.0000000046
7837 0.0000000044
7948 0.0000000043
8054 0.0000000037
8074 0.0000000034
8184 0.0000000032
8222 0.0000000030
8317 0.0000000026
8362 0.0000000023
8395 0.0000000019
8696 0.0000000013
8876 0.0000000008
9484 0.0000000007
9559 0.0000000006
9933 0.0000000004
10000 0.0000000005
