evaluations raw_y
1 28.7612623332
2 6.5804569565
14 5.5427265651
25 4.5604611077
57 3.1037536833
141 0.8891955184
657 0.4755661260
825 0.3090661741
1324 0.3065158515
1343 0.2833042461
1403 0.2417316621
1442 0.2256557559
1482 0.2185854343
1486 0.1691283652
1506 0.1654570157
1614 0.1647619906
1630 0.1617288473
1649 0.1373501398
1827 0.1255764617
1940 0.0829254212
2108 0.0507055363
2484 0.0348463468
2622 0.0250967059
2781 0.0204246219
2787 0.0142370492
3080 0.0132458217
3186 0.0103747692
3251 0.0033376815
3596 0.0029062038
3674 0.0018992895
3758 0.0014316833
3802 0.0011971478
3810 0.0011217174
3856 0.0009986023
3884 0.0004297675
4028 0.0001549897
4056 0.0001147897
4295 0.0000585098
4329 0.0000554031
4368 0.0000459581
4433 0.0000227774
4477 0.0000167879
4582 0.0000167164
4741 0.0000161540
4774 0.0000154500
4793 0.0000115509
4835 0.0000099827
4857 0.0000092755
4879 0.0000040588
4894 0.0000033297
5074 0.0000031171
5095 0.0000026194
5140 0.0000022006
5183 0.0000020820
5204 0.0000019885
5205 0.0000019548
5217 0.0000019349
5228 0.0000017201
5230 0.0000012355
5243 0.0000009714
5256 0.0000008421
5282 0.0000007284
5293 0.0000005389
5334 0.0000004793
5354 0.0000004175
5364 0.0000003036
5373 0.0000001494
5407 0.0000001447
5431 0.0000001335
5441 0.0000001054
5513 0.0000000864
5533 0.0000000813
5561 0.0000000773
5569 0.0000000689
5578 0.0000000607
5586 0.0000000354
5599 0.0000000322
5606 0.0000000310
5614 0.0000000175
5674 0.0000000117
5704 0.0000000097
5748 0.0000000069
5768 0.0000000067
5822 0.0000000060
5833 0.0000000040
5856 0.0000000025
5919 0.0000000023
5943 0.0000000022
6047 0.0000000015
6159 0.0000000013
6219 0.0000000009
6425 0.0000000007
6630 0.0000000005
6649 0.0000000004
6744 0.0000000003
7053 0.0000000002
10000 0.0000000001
