evaluations raw_y
1 3.7193207109
3 3.4925037258
4 2.8815887261
5 2.7242587031
9 0.3535922273
32 0.2538434971
99 0.2307888184
123 0.1888216842
159 0.1641445539
280 0.1582968948
390 0.1389872851
548 0.1109881725
600 0.0697977806
691 0.0470747357
814 0.0291932506
1019 0.0274114750
1121 0.0206311998
1182 0.0139244205
1327 0.0127177387
1364 0.0119587348
1403 0.0115856569
1427 0.0076066703
1450 0.0069190834
1478 0.0054929420
1667 0.0030589617
1769 0.0030262190
1803 0.0027804441
1813 0.0023912881
1822 0.0010395877
2074 0.0009779234
2122 0.0008556514
2152 0.0006380852
2219 0.0004817008
2283 0.0003603530
2305 0.0002883347
2314 0.0002731281
2329 0.0001479296
2508 0.0001467079
2554 0.0001014191
2558 0.0000385006
2840 0.0000383507
2958 0.0000371251
2977 0.0000315296
3033 0.0000101357
3279 0.0000099676
3308 0.0000030430
3471 0.0000026391
3629 0.0000024042
3677 0.0000014805
3817 0.0000012483
3832 0.0000012311
3874 0.0000009610
3947 0.0000009097
4003 0.0000009039
4040 0.0000008610
4044 0.0000008431
4046 0.0000007635
4048 0.0000006885
4149 0.0000006219
4165 0.0000005484
4202 0.0000005015
4243 0.0000004637
4356 0.0000003952
4471 0.0000003335
4480 0.0000003301
4484 0.0000002877
4489 0.0000002343
4570 0.0000002215
4664 0.0000001008
4755 0.0000000914
4860 0.0000000795
4909 0.0000000739
5043 0.0000000691
5054 0.0000000637
5105 0.0000000597
5118 0.0000000568
5172 0.0000000550
5202 0.0000000447
5314 0.0000000380
5340 0.0000000356
5375 0.0000000276
5522 0.0000000220
5584 0.0000000215
5611 0.0000000166
5673 0.0000000154
5693 0.0000000138
5714 0.0000000079
5892 0.0000000075
5949 0.0000000067
5983 0.0000000062
6069 0.0000000058
6083 0.0000000053
6149 0.0000000044
6226 0.0000000041
6296 0.0000000038
6312 0.0000000036
6460 0.0000000033
6470 0.0000000030
6508 0.0000000027
6548 0.0000000023
6636 0.0000000020
6640 0.0000000019
6775 0.0000000017
6828 0.0000000015
6879 0.0000000013
6940 0.0000000012
6985 0.0000000010
7024 0.0000000007
7312 0.0000000006
7614 0.0000000004
7853 0.0000000003
8090 0.0000000002
9149 0.0000000001
10000 0.0000000000
