evaluations raw_y
1 3.7674303789
7 1.6636372023
51 1.2873499128
156 1.2683824253
200 1.2652775810
212 1.2078928452
285 1.0943710918
313 0.9868195374
320 0.9671165709
349 0.8378819271
367 0.8110519046
369 0.6753559459
383 0.6738094019
391 0.5856281892
406 0.5524528054
411 0.3942876695
433 0.2684064823
448 0.2481318994
450 0.2177513076
458 0.1278566032
520 0.1039263355
551 0.1012148545
592 0.1009347792
616 0.0565464276
642 0.0530522858
724 0.0487181565
791 0.0470236993
1000 0.0328182106
1010 0.0303609467
1050 0.0274513624
1070 0.0235137144
1185 0.0228798522
1316 0.0227841012
1327 0.0221470439
1543 0.0220193039
1612 0.0220187049
1622 0.0184915978
1660 0.0124391960
1687 0.0124089490
1697 0.0119820575
1710 0.0102542841
1717 0.0096668657
1732 0.0096430982
1789 0.0085844962
1809 0.0078742294
1831 0.0074608492
1924 0.0052760437
1941 0.0052545680
1948 0.0048239110
1951 0.0047768226
1983 0.0042748763
2005 0.0040139365
2012 0.0036201482
2037 0.0028431613
2103 0.0027959826
2122 0.0024945477
2154 0.0014762473
2160 0.0014603437
2188 0.0012071144
2205 0.0010839793
2288 0.0010174698
2409 0.0000000007
2445 0.0000000005
2578 0.0000000004
2773 0.0000000003
3622 0.0000000002
10000 0.0000000002
