evaluations raw_y
1 7.1734904959
18 7.0527117915
41 6.1698165237
61 3.3708344705
137 1.9414468929
386 1.9040868296
396 1.7300916002
446 0.9413321694
791 0.7049346701
822 0.6643648630
1095 0.5681580110
1126 0.5525212920
1815 0.5468370489
1836 0.2868140206
2430 0.2508259054
2776 0.2435490446
2929 0.0848950549
3049 0.0795423499
3489 0.0739018703
3608 0.0736371598
3934 0.0734474306
3946 0.0727188119
3955 0.0724942134
3994 0.0722168274
4088 0.0669244430
4091 0.0458618727
4152 0.0421449311
4808 0.0300465597
4951 0.0296629270
5009 0.0271576868
5012 0.0182936284
5164 0.0173844006
5213 0.0134619368
5440 0.0119890940
5640 0.0099999490
5652 0.0068637123
5934 0.0063284293
5972 0.0058885825
5987 0.0031007254
6227 0.0014803876
6463 0.0005685010
6579 0.0003503455
6679 0.0002209002
6879 0.0002183285
6994 0.0001341791
7094 0.0001216452
7194 0.0000945710
7494 0.0000882061
7632 0.0000679439
7639 0.0000665867
7672 0.0000657794
7736 0.0000469040
7896 0.0000416589
8016 0.0000414820
8136 0.0000330995
8341 0.0000306071
8356 0.0000277292
8374 0.0000272018
8465 0.0000216951
8559 0.0000150278
8566 0.0000102918
8706 0.0000068203
8886 0.0000055923
9326 0.0000043052
9360 0.0000034716
9420 0.0000032983
9518 0.0000013614
9560 0.0000013590
9666 0.0000009761
9706 0.0000009063
9726 0.0000007832
9764 0.0000005753
9786 0.0000005480
9824 0.0000005288
9904 0.0000004279
10000 0.0000057817
